Study,year,Title,Marker,Sample.type,Sensitivity,Specificity,Size,is.size150,Prevalence,is.prevalence05,Case,Control,Stage,GS,is.ed,is.icu,is.pureed,is.pureicu,is.serum,is.wb,is.plasma,is.sirs.vs.sepsis,is.on.admission,is.medical,is.surgical,is.trauma,is.burn,is.sirs,is.shock,is.sepsis3,cutoff,cutoff.unit,Threshold,Sample.collecting,is.af,is.as,is.eu,is.am,Zone,Country,Department,Mean.age,Measurement,is.pediatric,is.bacteremia,cannot.include,is.sepsis3.group,sponsorship,is.sponsorship,Case control design or not,is.case.control,Patient selection (inappropriate exclusion),is.ps.norisk,Index test (prespecified cutoff),is.it.norisk,Reference standard (sepsis criteria),is.rs.norisk,Flow and Timing (did not report the sample timing),is.ft.norisk,Match the review question (include non-SIRS patients),is.ps.app,Index test differ from reiew question,is.it.app,Reference standard does not match the review question,is.rs.app
"Enguix-Armada A, 2016 (S3)",2016,"Usefulness of several biomarkers in the management of septic patients: C-reactive protein, procalcitonin, presepsin and mid-regional pro-adrenomedullin.",PCT,plasma,0.922,0.968,388,1,0.634020619,1,246,142,non-SS/SSh vs. SS/Sh,Surviving sepsis campaign,0,1,0,1,0,0,1,NA,NA,0,0,NA,NA,NA,0,1,0.28,ng/mL,0.28 _gg/L,within the first 24 h of ICU admission,0,0,1,0,Eu,Spain,ICU,,,NA,NA,NA,1,,0,yes,0,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Enguix-Armada A, 2016 (S3)",2016,"Usefulness of several biomarkers in the management of septic patients: C-reactive protein, procalcitonin, presepsin and mid-regional pro-adrenomedullin.",presepsin,plasma,0.819,0.965,388,1,0.634020619,1,246,142,non-SS/SSh vs. SS/Sh,Surviving sepsis campaign,0,1,0,1,0,0,1,NA,NA,0,0,NA,NA,NA,0,1,101.6,pg/mL,101.6 pg/ml,within the first 24 h of ICU admission,0,0,1,0,Eu,Spain,ICU,,,NA,NA,NA,1,,0,yes,0,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Karampelaa I, 2019",2019,Circulating eNampt and resistin as a proinflammatory duet predicting independently mortality in critically ill patients with sepsis A prospective observational study,PCT,,0.6,0.828,102,0,0.411764706,0,42,60,SSh vs sepsis,,0,1,0,1,1,0,0,NA,,0,0,,,,,,4.3,,4.3 ug/L,,0,0,1,0,,,,,,,,,,,0,yes,0,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Karampelaa I, 2019",2019,Circulating eNampt and resistin as a proinflammatory duet predicting independently mortality in critically ill patients with sepsis A prospective observational study,CRP,,0.8,0.69,102,0,0.411764706,0,42,60,SSh vs sepsis,,0,1,0,1,1,0,0,NA,,0,0,,,,,,NA,,1257 nmol/L,,0,0,1,0,,,,,,,,,,,0,yes,0,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Karampelaa I, 2019",2019,Circulating eNampt and resistin as a proinflammatory duet predicting independently mortality in critically ill patients with sepsis A prospective observational study,IL-6,,0.7,0.621,102,0,0.411764706,0,42,60,SSh vs sepsis,,0,1,0,1,1,0,0,NA,,0,0,,,,,,24.5,,24.5 ng/L,,0,0,1,0,,,,,,,,,,,0,yes,0,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Nakamura Y, 2019 (non-AKI)",2019,Comparison of accuracy of presepsin and procalcitonin concentrations in diagnosing sepsis in patients with and without acute kidney injury,presepsin,,0.809,0.832,340,1,0.138235294,0,47,293,sepsis without SKI vs non-sepsis,,0,1,0,1,0,0,0,NA,,0,0,,,,,,240,,240 pg/mL,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Nakamura Y, 2019 (non-AKI)",2019,Comparison of accuracy of presepsin and procalcitonin concentrations in diagnosing sepsis in patients with and without acute kidney injury,PCT,,0.851,0.791,340,1,0.138235294,0,47,293,sepsis with AKI vs non sepsis,,0,1,0,1,0,0,0,NA,,0,0,,,,,,0.1,,0.1 ng/mL,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Nakamura Y, 2019 (stage1)",2019,Comparison of accuracy of presepsin and procalcitonin concentrations in diagnosing sepsis in patients with and without acute kidney injury,presepsin,,0.833,0.691,226,1,0.212389381,0,48,178,sepsis with AKI vs non sepsis,,0,1,0,1,0,0,0,NA,,0,0,,,,,,322,,322 pg/mL,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Nakamura Y, 2019 (stage1)",2019,Comparison of accuracy of presepsin and procalcitonin concentrations in diagnosing sepsis in patients with and without acute kidney injury,PCT,,0.833,0.916,226,1,0.212389381,0,48,178,sepsis with AKI vs non sepsis,,0,1,0,1,0,0,0,NA,,0,0,,,,,,0.74,,0.74 ng/mL,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Nakamura Y, 2019 (stage2)",2019,Comparison of accuracy of presepsin and procalcitonin concentrations in diagnosing sepsis in patients with and without acute kidney injury,presepsin,,0.833,0.556,39,0,0.307692308,0,12,27,sepsis with AKI vs non sepsis,,0,1,0,1,0,0,0,NA,,0,0,,,,,,253,,253 pg/mL,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Nakamura Y, 2019 (stage2)",2019,Comparison of accuracy of presepsin and procalcitonin concentrations in diagnosing sepsis in patients with and without acute kidney injury,PCT,,0.75,0.889,39,0,0.307692308,0,12,27,sepsis with AKI vs non sepsis,,0,1,0,1,0,0,0,NA,,0,0,,,,,,0.59,,0.59 ng/mL,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Nakamura Y, 2019 (stage3)",2019,Comparison of accuracy of presepsin and procalcitonin concentrations in diagnosing sepsis in patients with and without acute kidney injury,presepsin,,0.897,0.597,101,0,0.386138614,0,39,62,sepsis with AKI vs non sepsis,,0,1,0,1,0,0,0,NA,,0,0,,,,,,500,,500 pg/mL,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Nakamura Y, 2019 (stage3)",2019,Comparison of accuracy of presepsin and procalcitonin concentrations in diagnosing sepsis in patients with and without acute kidney injury,PCT,,0.872,0.935,101,0,0.386138614,0,39,62,sepsis with AKI vs non sepsis,,0,1,0,1,0,0,0,NA,,0,0,,,,,,4.07,,4.07 ng/mL,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Polilli E, 2020",2020,Comparison of Monocyte Distribution Width (MDW) and Procalcitonin for early recognition of sepsis,PCT,,0.827,0.867,260,1,0.403846154,0,105,155,,,0,0,0,0,0,0,0,NA,,0,0,,,,,,1,,,,0,0,1,0,,,,,,,,,,,0,no,1,unclear,0,no,1,no,1,no,1,no,1,no,1,no,1
"Yamamoto T, 2019",2019,Diagnostic accuracy of presepsin for sepsis by the new Sepsis-3 definitions,presepsin,,0.86,0.93,91,0,0.681318681,1,62,29,,,0,1,0,1,0,0,0,NA,,0,0,,,,,,508,,,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Yamamoto T, 2019",2019,Diagnostic accuracy of presepsin for sepsis by the new Sepsis-3 definitions,PCT,,0.86,0.91,91,0,0.681318681,1,62,29,,,0,1,0,1,0,0,0,NA,,0,0,,,,,,1.5,,,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Yamamoto T, 2019",2019,Diagnostic accuracy of presepsin for sepsis by the new Sepsis-3 definitions,CRP,,0.9,0.89,91,0,0.681318681,1,62,29,,,0,1,0,1,0,0,0,NA,,0,0,,,,,,17.6,,,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Zhang Y, 2019",2019,Diagnostic and predictive performance of biomarkers in patients with sepsis in an intensive care unit,PCT,,0.6885,0.7174,180,1,0.466666667,0,84,96,SSh vs non-SSh,,0,1,0,1,1,0,0,NA,,0,0,,,,,,4.22,,4.22 ng/mL,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Zhang Y, 2019",2019,Diagnostic and predictive performance of biomarkers in patients with sepsis in an intensive care unit,IL-6,,0.8,0.7097,180,1,0.466666667,0,84,96,SSh vs non-SSh,,0,1,0,1,1,0,0,NA,,0,0,,,,,,NA,,89418.75 pg/mL,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Son J, 2019",2019,"Diagnostic and prognostic value of interleukin-6, pentraxin 3, and procalcitonin levels among sepsis and septic shock patients: a prospective controlled study according to the Sepsis-3 definitions",IL-6,,0.804,0.889,142,0,0.683098592,1,97,45,,,0,0,0,0,1,0,0,NA,,0,0,,,,,,52.6,,,,0,1,0,0,,,,,,,,,,,0,yes,0,yes,0,yes,0,no,1,unclear,0,no,1,no,1,no,1
"Sen P, 2019",2019,Diagnostic and prognostic value of new bioscore in critically ill septic patients,CRP,,0.647,0.508,226,1,0.663716814,1,150,76,,,0,1,0,1,0,0,0,NA,,0,0,,,,,1,150.3,,,,0,0,1,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Sen P, 2019",2019,Diagnostic and prognostic value of new bioscore in critically ill septic patients,PCT,,0.527,0.754,226,1,0.663716814,1,150,76,,,0,1,0,1,1,0,0,NA,,0,0,,,,,,3.6,,,,0,0,1,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Jedynak M, 2019",2019,"Diagnostic effectiveness of soluble triggering receptor expressed on myeloid cells-1 in sepsis, severe sepsis and septic shock.",PCT,,0.88,0.46,54,0,0.592592593,1,32,22,SS vs NI-SIRS,,0,1,0,1,1,0,0,NA,,0,0,,,,,,0.88,,0.88 ng/mL,,0,0,1,0,,,,,,,,,,,0,yes,0,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Jedynak M, 2019",2019,"Diagnostic effectiveness of soluble triggering receptor expressed on myeloid cells-1 in sepsis, severe sepsis and septic shock.",CRP,,0.88,0.86,54,0,0.592592593,1,32,22,SS vs NI-SIRS,,0,1,0,1,1,0,0,NA,,0,0,,,,,,103,,103 mg/L,,0,0,1,0,,,,,,,,,,,0,yes,0,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Jedynak M, 2019",2019,"Diagnostic effectiveness of soluble triggering receptor expressed on myeloid cells-1 in sepsis, severe sepsis and septic shock.",IL-6,,0.91,0.82,54,0,0.592592593,1,32,22,SS vs NI-SIRS,,0,1,0,1,1,0,0,NA,,0,0,,,,,,81.4133,,81.4133 pg/mL,,0,0,1,0,,,,,,,,,,,0,yes,0,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Jedynak M, 2019",2019,"Diagnostic effectiveness of soluble triggering receptor expressed on myeloid cells-1 in sepsis, severe sepsis and septic shock.",sTREM-1,,0.63,0.82,54,0,0.592592593,1,32,22,SS vs NI-SIRS,,0,1,0,1,1,0,0,NA,,0,0,,,,,,495,,495 pg/mL,,0,0,1,0,,,,,,,,,,,0,yes,0,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Gupta, 2019",2019,Procalcitonin as a diagnostic biomarker of sepsis A tertiary care centre experience,PCT,,0.985,0.8913,305,1,0.849180328,1,259,46,culture (+) sepsis vs non-sepsis,,0,0,0,0,1,0,0,NA,,1,0,,,,,,2.2,,2.2 ng/mL,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,yes,0,no,1,no,1,no,1
"Yunus I, 2018",2018,"The use of procalcitonin in the determination of severity of sepsis, patient outcomes and infection characteristics",PCT,,0.63,0.65,364,1,0.184065934,0,67,297,SSh vs non-SSh,,0,0,0,0,0,0,0,NA,,0,0,,,,,,3.05,,3.05 ng/mL,,0,0,0,1,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,yes,0,no,1,no,1,no,1
"Jereb M, 2019",2019,Usefulness of presepsin as diagnostic and prognostic marker of sepsis in daily clinical practice,presepsin,,0.944,0.846,80,0,0.675,1,54,26,,,0,0,0,0,0,0,1,NA,,0,0,,,,,,379.5,,,,0,0,1,0,,,,,,,,,,,0,no,1,no,1,yes,0,no,1,no,1,no,1,no,1,no,1
"Karon BS, 2017",2017,"Evaluation of lactate, white blood cell count, neutrophil count, procalcitonin and immature granulocyte count as biomarkers for sepsis in emergency department patients",PCT,plasma,0.727,0.817,71,0,0.507042254,1,36,35,non-infected vs. SS/SSh,Sepsis 2.0,1,0,1,0,0,0,1,0,,0,0,,,,0,1,1.14,ng/mL,1.14 ng/mL,,0,0,0,1,Am,USA,ED,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Ljungstrom1 L, 2017",2017,"Diagnostic accuracy of procalcitonin, neutrophil-lymphocyte count ratio, C-reactive protein, and lactate in patients with suspected bacterial sepsis",CRP,plasma,0.564,0.494,1572,1,0.356234097,0,560,1012,non-infectious SIRS/sepsis vs. SS/SSh,Sepsis 3.0,1,0,1,0,0,0,1,0,,0,0,,,,0,1,200,mg/L,2.0 ng/mL,,0,0,1,0,Eu,Sweden,ED,,,,,,,,0,no,1,no,1,no,1,no,1,no,1,no,1,no,1,no,1
"Ljungstrom1 L, 2017",2017,"Diagnostic accuracy of procalcitonin, neutrophil-lymphocyte count ratio, C-reactive protein, and lactate in patients with suspected bacterial sepsis",PCT,plasma,0.321,0.895,1572,1,0.356234097,0,560,1012,non-infectious SIRS/sepsis vs. SS/SSh,Sepsis 3.0,1,0,1,0,0,0,1,0,,0,0,,,,0,1,0.1,ng/mL,100 mg/L,,0,0,1,0,Eu,Sweden,ED,,,,,,,,0,no,1,no,1,no,1,no,1,no,1,no,1,no,1,no,1
"[Garc?a de Guadiana Romualdo, 2018 #1703]",2018,Diagnostic accuracy of lipopolysaccharide-binding protein for sepsis in patients with suspected infection in the emergency department,PCT,,0.796,0.774,102,0,0.480392157,0,49,53,sepsis vs non-sepsis,,1,0,1,0,1,0,0,NA,,0,0,,,,,,1.3,,1.3 ng/mL,,0,0,1,0,,,,,,,,,,,1,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"[Garc?a de Guadiana Romualdo, 2018 #1703]",2018,Diagnostic accuracy of lipopolysaccharide-binding protein for sepsis in patients with suspected infection in the emergency department,CRP,,0.571,0.811,102,0,0.480392157,0,49,53,sepsis vs non-sepsis,,1,0,1,0,1,0,0,NA,,0,0,,,,,,220,,220 mg/L,,0,0,1,0,,,,,,,,,,,1,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"[Garc?a de Guadiana Romualdo, 2018 #1703]",2018,Diagnostic accuracy of lipopolysaccharide-binding protein for sepsis in patients with suspected infection in the emergency department,LBP,,0.674,0.66,102,0,0.480392157,0,49,53,sepsis vs non-sepsis,,1,0,1,0,1,0,0,NA,,0,0,,,,,,33.9,,33.9,,0,0,1,0,,,,,,,,,,,1,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Kim SJ, 2019",2019,Procalcitonin as a diagnostic marker for sepsis/septic shock in the emergency department; a study based on Sepsis-3 definition,PCT,,0.748,0.638,866,1,0.668591224,1,579,287,,,1,0,1,0,1,0,0,NA,,0,0,,,,,,0.41,,,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"J. Chen, Z. B. Huang, H. Li, X. Zheng, J. J. Chen, X. B. Wang, Z. P. Qian, X. X. Liu, X. G. Fan, X. W. Hu, C. J. Liao, L. Y. Long and Y. Huang",2021,Early Diagnostic Biomarkers of Sepsis for Patients with Acute-on-Chronic Liver Failure: A Multicenter Study,presepsin,,0.968,0.592,143,0,0.657342657,1,94,49,Sepsis 3.0,,0,0,0,0,0,0,1,,,1,0,,,,,,,, 404.5 pg/ml ,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"J. Chen, Z. B. Huang, H. Li, X. Zheng, J. J. Chen, X. B. Wang, Z. P. Qian, X. X. Liu, X. G. Fan, X. W. Hu, C. J. Liao, L. Y. Long and Y. Huang",2021,Early Diagnostic Biomarkers of Sepsis for Patients with Acute-on-Chronic Liver Failure: A Multicenter Study,PCT,,0.553,0.816,143,0,0.657342657,1,94,49,Sepsis 3.0,,0,0,0,0,0,0,1,,,1,0,,,,,,,,0.765 ng/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"J. Chen, Z. B. Huang, H. Li, X. Zheng, J. J. Chen, X. B. Wang, Z. P. Qian, X. X. Liu, X. G. Fan, X. W. Hu, C. J. Liao, L. Y. Long and Y. Huang",2021,Early Diagnostic Biomarkers of Sepsis for Patients with Acute-on-Chronic Liver Failure: A Multicenter Study,CRP,,0.685,0.577,143,0,0.657342657,1,94,49,Sepsis 3.0,,0,0,0,0,0,0,1,,,1,0,,,,,,,,13.5 mg/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"J. Chen, Z. B. Huang, H. Li, X. Zheng, J. J. Chen, X. B. Wang, Z. P. Qian, X. X. Liu, X. G. Fan, X. W. Hu, C. J. Liao, L. Y. Long and Y. Huang",2021,Early Diagnostic Biomarkers of Sepsis for Patients with Acute-on-Chronic Liver Failure: A Multicenter Study,sTREM-1,,0.628,0.816,143,0,0.657342657,1,94,49,Sepsis 3.0,,0,0,0,0,0,0,1,,,1,0,,,,,,,,607.94 pg/mL,,0,1,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"J. Chen, Z. B. Huang, H. Li, X. Zheng, J. J. Chen, X. B. Wang, Z. P. Qian, X. X. Liu, X. G. Fan, X. W. Hu, C. J. Liao, L. Y. Long and Y. Huang",2021,Early Diagnostic Biomarkers of Sepsis for Patients with Acute-on-Chronic Liver Failure: A Multicenter Study,SOFA,,0.765,0.673,143,0,0.657342657,1,94,49,Sepsis 3.0,,0,0,0,0,0,0,1,,,1,0,,,,,,,,5.5,,0,1,0,0,,,,,,,,,,,0,,1,,0,,1,,1,,1,,1,,1,,1
"W. P. Yin, J. B. Li, X. F. Zheng, L. An, H. Shao and C. S. Li",2021,Effect of neutrophil CD64 for diagnosing sepsis in emergency department,CD64,,0.75,0.894,171,1,0.883040936,1,151,20,Sepsis 3.0,,1,0,1,0,0,1,0,,,0,0,,,,,,,,8 MFI,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"W. P. Yin, J. B. Li, X. F. Zheng, L. An, H. Shao and C. S. Li",2021,Effect of neutrophil CD64 for diagnosing sepsis in emergency department,PCT,,0.929,0.699,171,1,0.883040936,1,151,20,Sepsis 3.0,,1,0,1,0,0,0,0,,,0,0,,,,,,,,4.85 ng/mL,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"W. P. Yin, J. B. Li, X. F. Zheng, L. An, H. Shao and C. S. Li",2021,Effect of neutrophil CD64 for diagnosing sepsis in emergency department,CRP,,0.464,0.772,171,1,0.883040936,1,151,20,Sepsis 3.0,,1,0,1,0,0,0,0,,,0,0,,,,,,,,14.69 mg/L,,0,1,0,0,,,,,,,,,,,0,,0,,0,,0,,1,,1,,1,,1,,1
"W. P. Yin, J. B. Li, X. F. Zheng, L. An, H. Shao and C. S. Li",2021,Effect of neutrophil CD64 for diagnosing sepsis in emergency department,SOFA,,0.571,0.829,171,1,0.883040936,1,151,20,Sepsis 3.0,,1,0,1,0,0,0,0,,,0,0,,,,,,,,5.5,,0,1,0,0,,,,,,,,,,,0,,0,,0,,1,,1,,1,,1,,1,,1
"E. E. Abdelshafey, P. Nasa, A. E. Elgohary, M. F. Khalil, M. A. Rashwan, H. B. Ghezala and A. A. Tayar",2021,Role of presepsin for the diagnosis of sepsis and ICU mortality: A prospective controlled study,presepsin,,0.7308,0.9286,40,0,0.65,1,26,14,Sepsis 3.0,,1,1,0,0,0,0,0,,,0,0,,,,,,,,640 pg/mL ,,1,0,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"E. E. Abdelshafey, P. Nasa, A. E. Elgohary, M. F. Khalil, M. A. Rashwan, H. B. Ghezala and A. A. Tayar",2021,Role of presepsin for the diagnosis of sepsis and ICU mortality: A prospective controlled study,SIRS,,0.6923,0.5714,40,0,0.65,1,26,14,Sepsis 3.0,,1,1,0,0,0,0,0,,,0,0,,,,,,,,2,,1,0,0,0,,,,,,,,,,,0,,1,,0,,0,,1,,1,,1,,1,,1
"S. Spoto, E. Nobile, E. P. R. Carn?, M. Fogolari, D. Caputo, L. De Florio, E. Valeriani, D. Benvenuto, S. Costantino, M. Ciccozzi and S. Angeletti",2020,Best diagnostic accuracy of sepsis combining SIRS criteria or qSOFA score with Procalcitonin and Mid-Regional pro-Adrenomedullin outside ICU,SIRS,,0.7512,0.8431,209,1,0.80861244,1,169,40,Sepsis 3.0,,0,0,0,0,0,0,0,,,0,1,,,,,,,,2,,0,0,1,0,,,,,,,,,,,0,,0,,0,,1,,1,,1,,1,,1,,1
"S. Spoto, E. Nobile, E. P. R. Carn?, M. Fogolari, D. Caputo, L. De Florio, E. Valeriani, D. Benvenuto, S. Costantino, M. Ciccozzi and S. Angeletti",2020,Best diagnostic accuracy of sepsis combining SIRS criteria or qSOFA score with Procalcitonin and Mid-Regional pro-Adrenomedullin outside ICU,SOFA,,0.6651,0.8235,209,1,0.80861244,1,169,40,Sepsis 3.0,,0,0,0,0,0,0,0,,,0,1,,,,,,,,2,,0,0,1,0,,,,,,,,,,,0,,0,,0,,1,,1,,1,,1,,1,,1
