ID,Study,Author,year,Title,Marker,Sensitivity,Specificity,Size,Prevalence,Case,Control,Stage,is.size150,is.prevalence05,is.ed,is.icu,is.serum,is.wb,is.plasma,is.medical,is.surgical,is.as,is.eu,is.sponsorship,is.case.control,is.ps.norisk,is.it.norisk,is.rs.norisk,is.ft.norisk,is.ps.app,is.it.app,is.rs.app
16,"Yonaha T, 2021","Yonaha T, Maruta T, Otao G, Igarashi K, Nagata S, Yano T, et al.",2021," The 
diagnostic and prognostic value of mature and total adrenomedullin for 
sepsis: a prospective observational study. ",presepsin,0.889,0.491,98,0.571428571,56,42,sepsis 3.0,0,1,0,1,1,0,1,1,0,1,0,0,1,,,,,,,
16,"Yonaha T, 2021","Yonaha T, Maruta T, Otao G, Igarashi K, Nagata S, Yano T, et al.",2021," The 
diagnostic and prognostic value of mature and total adrenomedullin for 
sepsis: a prospective observational study. ",CRP,0.667,0.836,98,0.571428571,56,42,sepsis 3.0,0,1,0,1,1,0,1,1,0,1,0,0,1,,,,,,,
17,"Pham, H.M., 2023","Pham, H.M. and Nguyen, D.L.M. and Duong, M.C. and Tran, L.T. and Pham, T.T.N.",2023,Diagnostic Value of Neutrophil CD64 in Sepsis Patients in the Intensive Care Unit: A Cross-Sectional Study,CD64,0.899,0.857,104,0.663461538,69,35,sepsis 3.0,0,1,0,1,1,1,0,1,0,1,0,0,1,,,,,,,
17,"Pham, H.M., 2023","Pham, H.M. and Nguyen, D.L.M. and Duong, M.C. and Tran, L.T. and Pham, T.T.N.",2023,Diagnostic Value of Neutrophil CD64 in Sepsis Patients in the Intensive Care Unit: A Cross-Sectional Study,PCT,0.652,0.939,104,0.663461538,69,35,sepsis 3.0,0,1,0,1,1,1,0,1,0,1,0,0,1,,,,,,,
18,"Wang L., 2021",Wang L.; Yu L.; Yu W.; Zhan X.; Lv X.; Yi M.; Wu J.; Sun C.; Chen L.,2021,"Prospective comparison of neutrophil CD64, C-reactive protein and procalcitonin in the identification of ICU sepsis-3",PCT,0.6515,0.875,90,0.733333333,66,24,sepsis 3.0,0,1,0,1,1,1,0,1,0,1,0,0,1,,,,,,,
18,"Wang L., 2021",Wang L.; Yu L.; Yu W.; Zhan X.; Lv X.; Yi M.; Wu J.; Sun C.; Chen L.,2021,"Prospective comparison of neutrophil CD64, C-reactive protein and procalcitonin in the identification of ICU sepsis-3",CRP,0.8788,0.5833,90,0.733333333,66,24,sepsis 3.0,0,1,0,1,1,1,0,1,0,1,0,0,1,,,,,,,
18,"Wang L., 2021",Wang L.; Yu L.; Yu W.; Zhan X.; Lv X.; Yi M.; Wu J.; Sun C.; Chen L.,2021,"Prospective comparison of neutrophil CD64, C-reactive protein and procalcitonin in the identification of ICU sepsis-3",CD64,0.7727,0.9167,90,0.733333333,66,24,sepsis 3.0,0,1,0,1,1,1,0,1,0,1,0,0,1,,,,,,,
19,"Yin W.-P., 2021",Yin W.-P.; Li J.-B.; Zheng X.-F.; An L.; Shao H.; Li C.-S.,2021,Effect of neutrophil CD64 for diagnosing sepsis in emergency department,CD64,0.75,0.894,151,0.867549669,131,20,sepsis 3.0,1,1,1,0,1,0,0,1,0,1,0,0,1,,,,,,,
19,"Yin W.-P., 2021",Yin W.-P.; Li J.-B.; Zheng X.-F.; An L.; Shao H.; Li C.-S.,2021,Effect of neutrophil CD64 for diagnosing sepsis in emergency department,PCT,0.929,0.699,151,0.867549669,131,20,sepsis 3.0,1,1,1,0,1,0,0,1,0,1,0,0,1,,,,,,,
19,"Yin W.-P., 2021",Yin W.-P.; Li J.-B.; Zheng X.-F.; An L.; Shao H.; Li C.-S.,2021,Effect of neutrophil CD64 for diagnosing sepsis in emergency department,CRP,0.464,0.772,151,0.867549669,131,20,sepsis 3.0,1,1,1,0,1,0,0,1,0,1,0,0,1,,,,,,,
20,"Pandey K., 2021",Pandey K.; Malviya D.; Awasthi N.P.; Nath S.S.; Harjai M.,2021,Comparison of neutrophil CD64 and monocytic HLA-DR with existing biomarkers for the diagnosis and prognosis of sepsis,PCT,0.778,0.708,51,0.529411765,27,24,sepsis 3.0,0,1,0,1,1,0,0,1,0,1,0,0,1,,,,,,,
20,"Pandey K., 2021",Pandey K.; Malviya D.; Awasthi N.P.; Nath S.S.; Harjai M.,2021,Comparison of neutrophil CD64 and monocytic HLA-DR with existing biomarkers for the diagnosis and prognosis of sepsis,CRP,0.704,0.792,51,0.529411765,27,24,sepsis 3.0,0,1,0,1,1,0,0,1,0,1,0,0,1,,,,,,,
20,"Pandey K., 2021",Pandey K.; Malviya D.; Awasthi N.P.; Nath S.S.; Harjai M.,2021,Comparison of neutrophil CD64 and monocytic HLA-DR with existing biomarkers for the diagnosis and prognosis of sepsis,CD64,0.778,0.708,51,0.529411765,27,24,sepsis 3.0,0,1,0,1,1,0,0,1,0,1,0,0,1,,,,,,,
21,"Zhang W, 2022",Zhang W and Wang W and Hou W and Jiang C and Hu J and Sun L and Hu L and Wu J and Shang A,2022,"The diagnostic utility of IL-10, IL-17, and PCT in patients with sepsis infection.",PCT,0.7976,0.9136,165,0.509090909,84,81,sepsis 3.0,1,1,0,1,1,0,0,1,0,1,0,0,1,,,,,,,
21,"Zhang W, 2022",Zhang W and Wang W and Hou W and Jiang C and Hu J and Sun L and Hu L and Wu J and Shang A,2022,"The diagnostic utility of IL-10, IL-17, and PCT in patients with sepsis infection.",CRP,0.5357,0.9259,165,0.509090909,84,81,sepsis 3.0,1,1,0,1,1,0,0,1,0,1,0,0,1,,,,,,,
22,"Li, C.-H., 2022","Li, C.-H. and Seak, C.-J. and Chaou, C.-H. and Su, T.<e2><80><90>H. and Gao, S.-Y. and Chien, C.-Y. and Ng, C.-J.",2022,Comparison of the diagnostic accuracy of monocyte distribution width and procalcitonin in sepsis cases in the emergency department: a prospective cohort study,PCT,0.49,0.786,402,0.84079602,338,64,sepsis 3.0,1,1,1,0,1,0,0,1,0,1,0,0,1,,,,,,,
23,"J. Chen, 2021","J. Chen, Z. B. Huang, H. Li, X. Zheng, J. J. Chen, X. B. Wang, Z. P. Qian, X. X. Liu, X. G. Fan, X. W. Hu, C. J. Liao, L. Y. Long and Y. Huang",2021,Early Diagnostic Biomarkers of Sepsis for Patients with Acute-on-Chronic Liver Failure: A Multicenter Study,presepsin,0.968,0.592,143,0.657342657,94,49,Sepsis 3.0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
23,"J. Chen, 2021","J. Chen, Z. B. Huang, H. Li, X. Zheng, J. J. Chen, X. B. Wang, Z. P. Qian, X. X. Liu, X. G. Fan, X. W. Hu, C. J. Liao, L. Y. Long and Y. Huang",2021,Early Diagnostic Biomarkers of Sepsis for Patients with Acute-on-Chronic Liver Failure: A Multicenter Study,PCT,0.553,0.816,143,0.657342657,94,49,Sepsis 3.0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
23,"J. Chen, 2021","J. Chen, Z. B. Huang, H. Li, X. Zheng, J. J. Chen, X. B. Wang, Z. P. Qian, X. X. Liu, X. G. Fan, X. W. Hu, C. J. Liao, L. Y. Long and Y. Huang",2021,Early Diagnostic Biomarkers of Sepsis for Patients with Acute-on-Chronic Liver Failure: A Multicenter Study,CRP,0.685,0.577,143,0.657342657,94,49,Sepsis 3.0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
23,"J. Chen, 2021","J. Chen, Z. B. Huang, H. Li, X. Zheng, J. J. Chen, X. B. Wang, Z. P. Qian, X. X. Liu, X. G. Fan, X. W. Hu, C. J. Liao, L. Y. Long and Y. Huang",2021,Early Diagnostic Biomarkers of Sepsis for Patients with Acute-on-Chronic Liver Failure: A Multicenter Study,sTREM-1,0.628,0.816,143,0.657342657,94,49,Sepsis 3.0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
24,"W. P. Yin, 2021","W. P. Yin, J. B. Li, X. F. Zheng, L. An, H. Shao and C. S. Li",2021,Effect of neutrophil CD64 for diagnosing sepsis in emergency department,CD64,0.75,0.894,171,0.883040936,151,20,Sepsis 3.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
24,"W. P. Yin, 2021","W. P. Yin, J. B. Li, X. F. Zheng, L. An, H. Shao and C. S. Li",2021,Effect of neutrophil CD64 for diagnosing sepsis in emergency department,PCT,0.929,0.699,171,0.883040936,151,20,Sepsis 3.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
24,"W. P. Yin, 2021","W. P. Yin, J. B. Li, X. F. Zheng, L. An, H. Shao and C. S. Li",2021,Effect of neutrophil CD64 for diagnosing sepsis in emergency department,CRP,0.464,0.772,171,0.883040936,151,20,Sepsis 3.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
26,"A. F. Oduncu, 2021","A. F. Oduncu, G. S. K?yan and S. Yal??nl?",2021,"Comparison of qSOFA, SIRS, and NEWS scoring systems for diagnosis, mortality, and morbidity of sepsis in emergency department",qSOFA,0.23,0.9943,463,0.61987041,287,176,Sepsis 3.0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1
27,"Polilli E, 2020","Polilli E, 2020",2020,Comparison of Monocyte Distribution Width (MDW) and Procalcitonin for early recognition of sepsis,PCT,0.827,0.867,260,0.403846154,105,155,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
28,"S. Spoto, 2020","S. Spoto, E. Nobile, E. P. R. Carn?, M. Fogolari, D. Caputo, L. De Florio, E. Valeriani, D. Benvenuto, S. Costantino, M. Ciccozzi and S. Angeletti",2020,Best diagnostic accuracy of sepsis combining SIRS criteria or qSOFA score with Procalcitonin and Mid-Regional pro-Adrenomedullin outside ICU,SIRS,0.7512,0.8431,209,0.80861244,169,40,Sepsis 3.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1
28,"S. Spoto, 2020","S. Spoto, E. Nobile, E. P. R. Carn?, M. Fogolari, D. Caputo, L. De Florio, E. Valeriani, D. Benvenuto, S. Costantino, M. Ciccozzi and S. Angeletti",2020,Best diagnostic accuracy of sepsis combining SIRS criteria or qSOFA score with Procalcitonin and Mid-Regional pro-Adrenomedullin outside ICU,PCT,0.6794,0.9804,209,0.80861244,169,40,Sepsis 3.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1
29,"J. S. Choi, 2020","J. S. Choi, B. R. Yoon, J. H. Shin, S. H. Lee, A. Y. Leem, M. S. Park, Y. S. Kim and K. S. Chung",2020,Clinical value of full-length tryptophanyl-tRNA synthetase for sepsis detection in critically ill patients - A retrospective clinical assessment,PCT,0.842,0.51,241,0.788381743,190,51,Sepsis 3.0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
29,"J. S. Choi, 2020","J. S. Choi, B. R. Yoon, J. H. Shin, S. H. Lee, A. Y. Leem, M. S. Park, Y. S. Kim and K. S. Chung",2020,Clinical value of full-length tryptophanyl-tRNA synthetase for sepsis detection in critically ill patients - A retrospective clinical assessment,CRP,0.474,0.745,241,0.788381743,190,51,Sepsis 3.0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
29,"J. S. Choi, 2020","J. S. Choi, B. R. Yoon, J. H. Shin, S. H. Lee, A. Y. Leem, M. S. Park, Y. S. Kim and K. S. Chung",2020,Clinical value of full-length tryptophanyl-tRNA synthetase for sepsis detection in critically ill patients - A retrospective clinical assessment,IL-6,0.563,0.686,241,0.788381743,190,51,Sepsis 3.0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
30,"Y. D. Sui, 2020","Y. D. Sui, W. N. Xin and L. L. Feng",2020,"Comparison of the clinical application values of pct, hs-crp and saa detection in the early diagnosis of sepsis",PCT,0.7895,0.8824,36,0.472222222,17,19,Sepsis 3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
30,"Y. D. Sui, 2020","Y. D. Sui, W. N. Xin and L. L. Feng",2020,"Comparison of the clinical application values of pct, hs-crp and saa detection in the early diagnosis of sepsis",CRP,0.5217,0.6154,36,0.472222222,17,19,Sepsis 3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
31,"J. A. H. van Oers, 2020","J. A. H. van Oers, E. de Jong, H. Kemperman, A. R. J. Girbes and D. W. de Lange",2020,Diagnostic Accuracy of Procalcitonin and C-reactive Protein Is Insufficient to Predict Proven Infection: A Retrospective Cohort Study in Critically Ill Patients Fulfilling the Sepsis-3 Criteria,PCT,0.48,0.52,157,0.401273885,63,94,Sepsis 3.0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1
31,"J. A. H. van Oers, 2020","J. A. H. van Oers, E. de Jong, H. Kemperman, A. R. J. Girbes and D. W. de Lange",2020,Diagnostic Accuracy of Procalcitonin and C-reactive Protein Is Insufficient to Predict Proven Infection: A Retrospective Cohort Study in Critically Ill Patients Fulfilling the Sepsis-3 Criteria,CRP,0.51,0.54,157,0.401273885,63,94,Sepsis 3.0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1
32,"O. Ruangsomboon, 2020","O. Ruangsomboon, P. Panjaikaew, A. Monsomboon, T. Chakorn, C. Permpikul and C. Limsuwat",2020,Diagnostic and prognostic utility of presepsin for sepsis in very elderly patients in the emergency department,presepsin,0.835,0.622,250,0.556,139,111,Sepsis 3.0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1
32,"O. Ruangsomboon, 2020","O. Ruangsomboon, P. Panjaikaew, A. Monsomboon, T. Chakorn, C. Permpikul and C. Limsuwat",2020,Diagnostic and prognostic utility of presepsin for sepsis in very elderly patients in the emergency department,PCT,0.705,0.685,250,0.556,139,111,Sepsis 3.0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1
32,"O. Ruangsomboon, 2020","O. Ruangsomboon, P. Panjaikaew, A. Monsomboon, T. Chakorn, C. Permpikul and C. Limsuwat",2020,Diagnostic and prognostic utility of presepsin for sepsis in very elderly patients in the emergency department,CRP,0.784,0.667,250,0.556,139,111,Sepsis 3.0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1
33,"T. Katoch, 2020","T. Katoch, A. Singh, V. Suri, S. Sethi, N. Sachdeva and S. Naseem",2020,Diagnostic performance of biomarkers in maternal sepsis: A prospective observational study,PCT,0.8333,0.6667,30,0.6,18,12,Sepsis 3.0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1
33,"T. Katoch, 2020","T. Katoch, A. Singh, V. Suri, S. Sethi, N. Sachdeva and S. Naseem",2020,Diagnostic performance of biomarkers in maternal sepsis: A prospective observational study,CRP,0.7778,0.75,30,0.6,18,12,Sepsis 3.0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1
34,"Y. Li, 2020","Y. Li, K. Feng, W. Chen, J. Qiao and M. Zhao",2020,"High levels of CRP, PCT and HBP are collrelated with pneumonia secondary sepsis",PCT,0.6425,0.8269,84,0.416666667,35,49,Sepsis 3.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1
34,"Y. Li, 2020","Y. Li, K. Feng, W. Chen, J. Qiao and M. Zhao",2020,"High levels of CRP, PCT and HBP are collrelated with pneumonia secondary sepsis",CRP,0.7574,0.6911,84,0.416666667,35,49,Sepsis 3.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1
35,"(Ecoli) Y. Koizumi, 2020","(Ecoli) Y. Koizumi, D. Sakanashi, T. Ohno, A. Nakamura, A. Yamada, Y. Shibata, A. Shiota, H. Kato, M. Hagihara, N. Asai, M. Watarai, K. Murotani, Y. Yamagishi, H. Suematsu and H. Mikamo",2020,Plasma procalcitonin levels remain low at the onset of gram-positive bacteremia regardless of severity or the presence of shock: A retrospective analysis of patients with detailed clinical characteristics,PCT,0.71,0.86,46,0.369565217,17,29,septic shock,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1
